"Lactic Acid Bacteria Microbiological and Functional Aspects, Fourth Edition","Sampo Lahtinen, Seppo Salminen, Atte Von Wright, Arthur C. Ouwehand",Sciences,"Science, Life Sciences, Microbiology","Lactic Acid Bacteria Microbiological and Functional Aspects, Fourth Edition.jpg","Lactic Acid Bacteria Microbiological and Functional Aspects, Fourth Edition.pdf","Lactic Acid Bacteria Microbiological and Functional Aspects, Fourth Edition.html",511
Tracking Control of Linear Systems,L. T. Gruiich,Engineering & Maths,"Technology & Engineering, Power Resources, Electrical",Tracking Control of Linear Systems.jpg,Tracking Control of Linear Systems.pdf,Tracking Control of Linear Systems.html,512
"Electric Power Generation, Transmission, and Distribution, Third Edition",Leonard L. Grigsby,Engineering & Maths,"Technology & Engineering, Electronics, General","Electric Power Generation, Transmission, and Distribution, Third Edition.jpg","Electric Power Generation, Transmission, and Distribution, Third Edition.pdf","Electric Power Generation, Transmission, and Distribution, Third Edition.html",513
Programming in Go,Mark Summerfield,Computing,"Computers, Programming Languages, General",Programming in Go.jpg,Programming in Go.pdf,Programming in Go.html,514
The Go Programming Language Phrasebook,David Chisnall,Computing,"Computers, Programming Languages, General",The Go Programming Language Phrasebook.jpg,The Go Programming Language Phrasebook.pdf,The Go Programming Language Phrasebook.html,515
Beginning ASP.NET Security,Barry Dorrans,Computing,"Computers, Programming Languages, C#",Beginning ASP.NET Security.jpg,Beginning ASP.NET Security.pdf,Beginning ASP.NET Security.html,516
"Food Oxidants and Antioxidants Chemical, Biological, and Functional Properties",Grzegorz Bartosz,Health & Fitness,"Health & Fitness, Diet & Nutrition, Diets","Food Oxidants and Antioxidants Chemical, Biological, and Functional Properties.jpg","Food Oxidants and Antioxidants Chemical, Biological, and Functional Properties.pdf","Food Oxidants and Antioxidants Chemical, Biological, and Functional Properties.html",517
Genome Wide Association Studies and Genomic Prediction (Methods in Molecular Biology),"Cedric Gondro, Julius Van Der Werf, Ben Hayes",Sciences,"Science, Life Sciences, Anatomy & Physiology",Genome Wide Association Studies and Genomic Prediction (Methods in Molecular Biology).jpg,Genome Wide Association Studies and Genomic Prediction (Methods in Molecular Biology).pdf,Genome Wide Association Studies and Genomic Prediction (Methods in Molecular Biology).html,518
Phenomenology of Polymer Solution Dynamics,George D. J. Phillies,Sciences,"Science, Physics, General",Phenomenology of Polymer Solution Dynamics.jpg,Phenomenology of Polymer Solution Dynamics.pdf,Phenomenology of Polymer Solution Dynamics.html,519
The Engine of Complexity Evolution as Computation,John E. Mayfield,Sciences,"Science, Life Sciences, Biology",The Engine of Complexity Evolution as Computation.jpg,The Engine of Complexity Evolution as Computation.pdf,The Engine of Complexity Evolution as Computation.html,520
The Physics of Deformation and Fracture of Polymers,Ali S. Argon,Sciences,"Science, Physics, Condensed Matter",The Physics of Deformation and Fracture of Polymers.jpg,The Physics of Deformation and Fracture of Polymers.pdf,The Physics of Deformation and Fracture of Polymers.html,521
A First Course in Mathematical Modeling,Frank R. Giordano,Engineering & Maths,"Mathematics, Applied",A First Course in Mathematical Modeling.jpg,A First Course in Mathematical Modeling.pdf,A First Course in Mathematical Modeling.html,522
Nutrition Concepts and Controversies,Frances Sizer,Health & Fitness,"Health & Fitness, Diet & Nutrition, Nutrition",Nutrition Concepts and Controversies.jpg,Nutrition Concepts and Controversies.pdf,Nutrition Concepts and Controversies.html,523
Nutrition Essentials for Nursing Practice,Susan G. Dudek,Medicine,"Medical, Nursing, Fundamentals & Skills",Nutrition Essentials for Nursing Practice.jpg,Nutrition Essentials for Nursing Practice.pdf,Nutrition Essentials for Nursing Practice.html,524
Acute Phase Proteins,Sabina Janciauskiene,Medicine,"Medical, Biochemistry",Acute Phase Proteins.jpg,Acute Phase Proteins.pdf,Acute Phase Proteins.html,525
Recent Advances in Quarks Research,"Haruki Fujikage, Kyou Hyobanshi",Sciences,"Science, Physics, General",Recent Advances in Quarks Research.jpg,Recent Advances in Quarks Research.pdf,Recent Advances in Quarks Research.html,526
Designing and Conducting Business Surveys,"Ger Snijkers, Gustav Haraldsen, Jacqui Jones, Diane Willimack",Business & Mgt.,"Business & Economics, Marketing, General",Designing and Conducting Business Surveys.jpg,Designing and Conducting Business Surveys.pdf,Designing and Conducting Business Surveys.html,527
Digital Microwave Communication,George Kizer,Engineering & Maths,"Technology & Engineering, Microwaves",Digital Microwave Communication.jpg,Digital Microwave Communication.pdf,Digital Microwave Communication.html,528
"Introduction to Tribology, 2 edition",Bharat Bhushan,Engineering & Maths,"Technology & Engineering, Tribology","Introduction to Tribology, 2 edition.jpg","Introduction to Tribology, 2 edition.pdf","Introduction to Tribology, 2 edition.html",529
C++ in a Nutshell,Ray Lischner,Computing,"Computers, Programming Languages, C++",C++ in a Nutshell.jpg,C++ in a Nutshell.pdf,C++ in a Nutshell.html,530
C in a Nutshell,"Peter Prinz, Tony Crawford",Computing,"Computers, Programming Languages, C",C in a Nutshell.jpg,C in a Nutshell.pdf,C in a Nutshell.html,531
Delivering Sustainable Buildings,Mike Malina,Engineering & Maths,"Technology & Engineering, Construction, General",Delivering Sustainable Buildings.jpg,Delivering Sustainable Buildings.pdf,Delivering Sustainable Buildings.html,532
Decision Making in Natural Resource Management,"Michael J. Conroy, James T. Peterson",Sciences,"Science, Life Sciences, General",Decision Making in Natural Resource Management.jpg,Decision Making in Natural Resource Management.pdf,Decision Making in Natural Resource Management.html,533
VoIP and Unified Communications,William A. Flanagan,Engineering & Maths,"Technology & Engineering, Telecommunications",VoIP and Unified Communications.jpg,VoIP and Unified Communications.pdf,VoIP and Unified Communications.html,534
Design of Highway Bridges,"Richard M. Barker, Jay A. Puckett",Engineering & Maths,"Technology & Engineering, Civil, General",Design of Highway Bridges.jpg,Design of Highway Bridges.pdf,Design of Highway Bridges.html,535
Battery Systems Engineering,"Christopher D. Rahn, Chao-Yang Wang",Sciences,"Science, Chemistry, Physical & Theoretical",Battery Systems Engineering.jpg,Battery Systems Engineering.pdf,Battery Systems Engineering.html,536
Design and Development of Aircraft Systems,"Ian Moir, Allan Seabridge",Engineering & Maths,"Technology & Engineering, Aeronautics & Astronautics",Design and Development of Aircraft Systems.jpg,Design and Development of Aircraft Systems.pdf,Design and Development of Aircraft Systems.html,537
Transforming IT Culture,Frank Wander,Business & Mgt.,"Business & Economics, Strategic Planning",Transforming IT Culture.jpg,Transforming IT Culture.pdf,Transforming IT Culture.html,538
"Introduction to Topology and Geometry, 2 edition","Saul Stahl, Catherine Stenson",Engineering & Maths,"Technology & Engineering, Tribology","Introduction to Topology and Geometry, 2 edition.jpg","Introduction to Topology and Geometry, 2 edition.pdf","Introduction to Topology and Geometry, 2 edition.html",539
"Web Standards Mastering HTML5, CSS3, and XML",Leslie Sikos,Computing,"Computers, Web, Web Programming","Web Standards Mastering HTML5, CSS3, and XML.jpg","Web Standards Mastering HTML5, CSS3, and XML.pdf","Web Standards Mastering HTML5, CSS3, and XML.html",540
Expert Oracle GoldenGate,"Ben Prusinski, Steve Phillips, Richard Chung",Computing,"Computers, Databases, General",Expert Oracle GoldenGate.jpg,Expert Oracle GoldenGate.pdf,Expert Oracle GoldenGate.html,541
"Development with the Force.com Platform, 2nd Edition",Jason Ouellette,Computing,"Computers, Programming Languages, General","Development with the Force.com Platform, 2nd Edition.jpg","Development with the Force.com Platform, 2nd Edition.pdf","Development with the Force.com Platform, 2nd Edition.html",542
LINQ to Objects Using C# 4.0,Troy Magennis,Computing,"Computers, Programming Languages, General",LINQ to Objects Using C# 4.0.jpg,LINQ to Objects Using C# 4.0.pdf,LINQ to Objects Using C# 4.0.html,543
Joomla! Templates,Angie Radtke,Computing,"Computers, Web, Page Design",Joomla! Templates.jpg,Joomla! Templates.pdf,Joomla! Templates.html,544
Android Apps for Absolute Beginners,Wallace Jackson,Computing,"Computers, Programming, Open Source",Android Apps for Absolute Beginners.jpg,Android Apps for Absolute Beginners.pdf,Android Apps for Absolute Beginners.html,545
Learn Excel 2011 for Mac,Guy Hart-Davis,Computing,"Computers, Desktop Applications, Spreadsheets",Learn Excel 2011 for Mac.jpg,Learn Excel 2011 for Mac.pdf,Learn Excel 2011 for Mac.html,546
The Definitive Guide to HTML5 Video,Silvia Pfeiffer,Computing,"Computers, Programming Languages, HTML",The Definitive Guide to HTML5 Video.jpg,The Definitive Guide to HTML5 Video.pdf,The Definitive Guide to HTML5 Video.html,547
Beginning POJOs,Brian Sam-Bodden,Computing,"Computers, Software Development & Engineering, General",Beginning POJOs.jpg,Beginning POJOs.pdf,Beginning POJOs.html,548
Android Apps for Absolute Beginners 2nd edition,Wallace Jackson,Computing,"Computers, Programming, Open Source",Android Apps for Absolute Beginners 2nd edition.jpg,Android Apps for Absolute Beginners 2nd edition.pdf,Android Apps for Absolute Beginners 2nd edition.html,549
HTML5 Step by Step,Faithe Wempen,Computing,"Computers, Programming Languages, HTML",HTML5 Step by Step.jpg,HTML5 Step by Step.pdf,HTML5 Step by Step.html,550
